Comments,Sentiment
"Have worked in Amazon for around 3 years. Most of the stuff in this video is accurate, however, there is ways to play around the system, for example, you won't get fired for sitting down. You can refuse to do on task jobs such as going to the dock, you can lie and say you're injured or don't feel safe there. It isn't a nice place to work sadly but they do offer a lot of jobs and people are struggling to find jobs.",Negative
"I worked in Panasonic in cardiff for a few years that had similar hatred for their workers , but strangely enough it wasn't the Japanese that were utter bastards it was the welsh supervisors and most were ex miners who when on strike i had great admiration for them but after a few years at Panasonic i hated them with a passion",Negative
Looks like if Boris Johnson and King Joffrey had a child,Positive
This started out so promising but would have been so much better to send a lesser known person undercover.  Amazon dodges paying taxes? I dont think anyone is surprised at that.  I wanted to see more from the working conditions.  The comments section gave me a better insight than this.,Positive
"Curious how the bright spark making this prog complains about surveillance in the warehouse whilst carrying out covert surveillance in the warehouse.
Of course this is Ch 4 so we know what to expect.",Positive
"There is also DHL and TESCO. All the same, they all addopted the Amazon model. Prison camps.",Negative
Got news for you... It's not just amazon that do things like this with their staff,Positive
"Jeff Bezos is a right prick. Richest man alive, and choses to not donate shit, treats his employees like crap, when they are who make his company, make him minted. Why did he not take this further to court?",Negative
Was that an uber taxi to the warehouse ? Hmmm,Neutral
So nothing change ,Neutral
"Superb investigative journalism and shame on Amazon ☹😡....Amazon stop shitting on your workforce and regulators, get a grip!!!",Positive
You need to contact the IMF team... They will get you in... 😉,Neutral
"I wish I didn't watch this. I was really chuffed with my Prime subscription. Now I want to cancel

The problem for me is that the retail industry has their head up their arse. They close their shops at 5pm when everyone finishes work. How am I supposed to ever make it to the shop, apart from Saturdays? Why not adapt to the times and open 5pm-9pm, instead of opening when everyone's at the office?

Would happily shop at physical retail stores if they were open when I'm done with work",Positive
I'm surprised nobody recognised the Milky bar Kid,Positive
"Not shopped on Amazon ever and never will until they own everything and I have no choice.
Everyone asked for this and then asked for more.  society created this out of sheer bone idle laziness. 

“So sit back SHUT UP and suck it“ 
~ Bezos 🖕🏿
We don’t need Amazon let it die",Negative
i work for amazon isnt that bad honestly very metric focused but we survive 😅,Negative
"After spending a lot of time working in RDC`s since 1982 I have watched the way that they have changed. Back in the old days unions were stronger which was our protection and we felt like human beings. A lot of years later One large company I worked for you had to ask the line supervisor if you could use the toilet and he`d check on his system how many toilet breaks you have swiped out for that week and month if they suspected you were ""Abusing the break system""   It goes without saying there are some companies worse than others. Rule of thumb, The larger the company the worse they are to work for.  American companies used to ring every atom out of you. It is terrible the way staff are treated and I cannot believe that British workers are treated so badly. I wouldn't be surprised if the next step was tattooing the company logo on the employee and microchipping. Its like battery hen working. Unions should be strengthened and optional to every employee",Negative
"I have huge problems believing you that a knife has been posted to letterbox. Seems like fake news to me, always when I ordered such items they would not release it nor post it in letterbox, never. I am not a defender of Amazon but we do hundreds of orders and never seen what you say it happened and did not prove either you just showed us unwrapping it.",Negative
Oob looks like he's some long lost Paul cousin,Negative
It’s now disgusting that these companies and like wise supermarkets care more about there targets than there own staff this is why the depression rate is so high and suicides are so high now I understand they need to make money but there also should be a good care of staff too work shouldn’t be a dreading depressing place to go to if it was made caring and more enjoyable people would want to come to work and want to work more sadly now it is just money money money,Positive
"To those who have had disciplinary action and/or dismissed from Amazon, please take your cases to an industrial tribunal. This employer needs to be stopped.",Positive
"Amazon don't give a fork about you their customer. I purchased a deep fat fryer that broke after just a month. I was returned for repair where my troubles started. Amazon didn't respond to any of my emails for 4 months. It's impossible to speak to anyone from Amazon on the phone. You just get a chat bot that sends you around in a loop, wasting your time. The repair company would speak with me but once the fryer was repaired several months after shipping it to Amazon, it was shipped back to Amazon (not me!) where it went missing in action. Still no communication from Amazon at all.
Finally, I had an email from management saying they were willing to offer a full refund for the fryer which they did. No compensation for months of being forked around and completely ignored. I'm never buying anything again for Amazon that I can source elsewhere. They have become a toxic nightmare that aims to sidestep manufacturers and retailers responsibilities. I would recommend you DO NOT use Amazon and any of their services wherever possible too. This has to stop now.",Negative
"I was thinking, oh great, another inside plant and some shouting about Amazon. 
But, this was epic, tied them right up! 🤣🤣🤣",Positive
W bump,Neutral
"I spent 3 months over Christmas 2012 with Amazon. I was initially stowing items for around 3 weeks, then I was upgraded to what they called a Sweeper. This was someone who dealt with problems that people stowing had which normally fell into 2 camps. The stowing work involves scanning a trolley which is filled with items. Once scanned, that trolley and all the items on it are assigned to that person. The stower then scans items, scans a shelf and places the item onto the shelf which is a way to manage where the inventory is. The scanner knows how many items are on the trolley so if you scan an item but the scanner thinks there is nothing left on the trolley then there is an issue. Or, you try to scan the trolley at the end of stowing all the items but the scanner thinks there are still items on there, then that is also an issue. Other problems also occurred but by and large, these were the two main issues I had to fix. Normally it meant that someone had made a mistake and it was my responsibility to work out what mistake had been made and who was to blame. When I fixed the issue, I had to assign who was to blame for the mistake which got fed into a central system. The fulfillment centre monitored the mistakes and 3 mistakes in a week meant you were fired. I had inadvertently become a member of the Amazon hit squad on the fulfillment centre floor. Cottoning on to this, and having a conscience, I would ask how many mistakes people had made that week and if they were on 2 already, I would assign the mistake to myself but I could only help 2 people a week. The higher-ups worked out after a couple of weeks what was happening and I was removed as a sweeper and put on a really crappy job involving scanning every item on the floor searching for missing inventory. No-one said it at the time but it felt like a punishment. I lasted 1.5 days of that before leaving. From my limited experience working there, I agree with those who complain about working conditions.",Negative
😂😂😂Knife party😂😂😂,Neutral
So we can all set up a shell company and order loads. But it still needs to be shipped to a UK address.. So then also use a returns store.. So it's not untraceable 🎉,Neutral
"News nation is literally the only news i could see latching on to the piss drink lol.
Especially after news nation tried to milk that fake backyard alien story",Negative
"Amazon also get out of income tax through loss and expense, now you know why Rings of Power cost 1bn USD for one season, and thry built a bunch of glass bubbles for their HQ in the US Seattle which were somehow 14bn.",Negative
"If l got in a taxi, and the driver was wearing his hood up while driving, l would be getting out again!",Neutral
"Dude Bezos is going to hire a hitman to take you out now. 
If you see an amazon package on your doorstep after not ordering anything RUN",Neutral
After watching this I think I will stop using amazon.,Negative
"I lost complete interest after 6 minutes, purely due to the absolute knob presenting it.",Positive
"""Amazon has 50% fewer injuries in the UK""

Great wording by Amazon, if a warehouse in Spain has 2 million injuries then the UK only has 1 million injuries..... see how that logic fails?",Negative
"Not being funny, but you went undercover for about 10 mins before you were recognised....and that made the documentary a non-starter..",Positive
"American buisnesses only exist to make money, thats how they got so big in the 1st place, they literally couldnt care about anyone or anything except for people who are giving them money, people should stop purchasing from amazon and people should stop working for amazon in the warehouses, its better to have no money than to sell yourself to them for a pitence per hour",Positive
This all cud stop if every one order for week and return it and just wait and see how this whole system crash,Negative
"I've worked at Amazon, because they rely on very large numbers of workers (especially over the Christmas period) and because they don't want unions telling them what to do, Amazon are just one of the many large employers who love immigrants coming to the UK. If workers don't make the grade then Amazon can quickly and easily replace them. Brexit has stopped the endless supply of disposable labour.",Positive
the security systems are for theft reasons,Neutral
"Awesome video, great job!",Positive
There wouldn't be ANY need to do all of this if successive governments hadn't allowed company's to refuse Unions. I've worked at Amazon and because they don't have to recognise any unions then they do exactly what you'd expect them to do.,Positive
I loved this.,Positive
You can just request to go on a tour,Neutral
"Loved thus- I have always used Amazon, and was totally ignorant to what happens behind the scene. It has really put me off using them ever again. Is there anything customers can do to try and get them to provide fair health and safety conditions to their staff?",Positive
god gives his toughest battles (not breaking several laws) to his silliest guys,Neutral
"Amazon will continue to exist as it is because the consumer doesn't care unless their delivered package is wrong/damaged/late, even if it does end up one of these on multiple occasions they'll continue to use Amazon because they can get their items without needing to look around.",Neutral
"I get that it's a shit company with shit wages and just generally shit all round.
But.
😫 feet hurt stood up too much
🥵 it's too hot
🙁 this labelling gun is heavy
Try 10 hours of walking on uneven ground handballing rebar in the middle of summer hampered by all the safety gear, steel toe capped boots, helmet, goggles, ear defenders, high viz.
Or how about being bent arse over tit all day long from first light pulling potatoes out of the ground.
Maybe several weeks on a trawler in rough seas would be better? You would be praying to Poseidon after your first shift to send you back to Amazon.",Negative
You use Amazon you the problem,Negative
"And that’s if you are lucky. Many don’t have the luxury of pissing in a bottle, medium and small vans in city centres are no go unless you have an adult diaper. If you do manage to find a place you will get a call from your manager that you are falling behind",Neutral
"this style of documentary is very... tik tokky, isn't it? I miss good tv.",Positive
the audacity of saying filling in the potholes that are already a safety hazard/risk could cause an accident as if the pothole existing in the first place hasn't caused accidents is insane to me wth,Negative
"Trying to shop less on Amazon. What they're doing to the high street, social life and the fabric of society is worrying. We all need to do our bit. Be the change you want to see in the world, as Ghandi once said.",Negative
You should speak to Royal mail drivers about piss bottles its a thing even my friend does it yuck,Neutral
"Amazon thrives in both conservative and progressive governments.

Tells you who runs things",Neutral
It's quite simple if you don't like the Amazon life you know where the door is as I should know it's very unfair the way you project Amazon to be a bad company when they give employers free fruit on the beginning of their shifts and support if you need it obviously if you can't meet your targets you will eventually be offboarded and passed on to other Agency  until you meet your targets As for the urine situation I would highly recommend any delivery service to have proper urine bottles for their employers need them urgently as they will catch urine infections As for age verification was always done without failure. Well done Amazon keep the good work up,Negative
Amazon wont be paying for that pot hole stuff they charge the companys that make it for holding fees return fees etc so please dont do this unless its a amazon own product,Positive
I don't understand the whole pothole thing. Doesn't every company and citizen use the roads? Why is amazon specifically responsible for filling potholes? Surely this is a failure of government,Positive
"Recommending everyone I know to watch this, amazing work Oobah & Channel 4 👏",Positive
Wow triplet paranormal,Positive
i started work at 15 doing a 48 hour week my brother started work at 14 again a 48 hour week what is the point  of this undercover the work  because its  hard  work GROW UP this generation is lazy  in my 20s i worked 16 hour days STOP WINNING do some work stop being so lazy and nit picking,Negative
Cancelled my prime subscription after watching this,Negative
"I'm an amazon driver in the UK who does occasionally pee in a bottle 😂 but mostly I can nip into somewhere for a quick toilet break. It take 5 mins max so your only adding 5 minutes onto your day... Crying about it is only done by poor drivers.. 😂
Age Verification should be carried out strictly and if a driver fails just once they are sacked and can't work for amazon in any capacity again..",Negative
Seriously shocked about the age verification failings,Negative
"I've been to many Amazon sites (But not this one) - it appears to be a very secure site, so I assume it is high value products? I've seen the security at other sites, it's not much different to other companies warehouses. The bottles of pee aren't coming out of the warehouse. You can only take clear bottles in and out, there is no way workers are coming out of the warehouse with bottles of pee. They are (probably) coming from drivers. anyone that has had a job that involves lots of driving knows that there is a huge lack of public conveniences, and sometimes you have to relieve yourself elsewhere.
Manual work is hard work. Nobody is forcing anybody to do that job, if you don't like it, find another job. I've worked in places where machines run at 350°C, and inside that place it could get very hot, but that's how it is, in some places it's not possible to regulate the ambient temperature because of the nature of the product being produced.",Positive
"I don't know how they are getting away with not offering a seat, if an employee has medical issue, such as back pain. I'm sure it's illegal to not provide a seat and make people stand up over a certain time period.",Negative
Did sumcunt fart at 13:52?,Neutral
"Well done Oobah, the film was funny to watch but very informative of some of the practices big corps do get away with all the time, the working people really do need to wake up to the massive power they have in numbers against oppression, if we all came together and refused to work there could be a massive changes.",Positive
"this was so funny, very refreshing Journalism, that in the Modern World we never get to see anymore.. Nice One Channel 4",Positive
This deserves millions of views,Neutral
"Cool documentary and all, but isn't anyone commenting on the fact that the barrister is called Colin WITCHER?!! How awesome",Positive
Time to short $AMZN stock..?,Neutral
this is messed up,Negative
Working at Amazon was the most isolating and heavily surveilled job I've ever had. Never again,Positive
"what a crap place to work,nothing more than slaves",Negative
I don't think people should litter and litter urin. Why not tip the pee out?,Neutral
"I despise Amazon, but the knife coming through the letterbox is not my experience. I always get asked my date of birth on the doorstep for kitchen knives and alcohol.",Neutral
I worked at the coventry warehouse. Basically reminded me of a camp during n*zi germany...,Neutral
"Ex sorta Amazon employee here. Pretty spot on. Monitored for the full 12 hours cameras everywhere. Pick your nose management know about it. Phones to be locked in your locker (if you have one) or in your bag in the canteen. Security check if your leaving no matter the reason. Inhaler in your bag? Gotta get a pat down and metal detector swab before you can get it.
Getting pulled in for using the toilet is true. Needed a number 2 and when I went back to work manager pulled me aside and asked where I was for 10 minutes. 
Wierdest of all. Can't wear your own boots. Have a nice comfy pair of safety boots/trainers? To bad you have to wear the ones they provide and they are awful.
Breaks are heavily monitored too. Managers usually share the smoking hut/canteen with you. If your so much as a millisecond late when you come back to the floor there will be a manger there waiting to pull you aside.",Positive
The purchases of the pot hole filler under a Luxembourg company was the icing on the cake!,Neutral
"Brilliant work...I hope the person that makes this show reads this... I make hho kits that make any engine give out 0 carbon emissions.. They also give you 1 bhp more and 30% more mpg..
Hydrogen on demand..
I have a Triumph tiger 800 on my page with onr running onit.. X",Positive
Where's my comment gone?? Ffs,Neutral
"Exceptional, funny and eye-opening, Amazon can FO",Positive
"Just watching this now, at the point about buying knives online and your niece has just managed to add a knife to my basket on Alexa... Disabling the Alexa now. Very scary that items like that can be purchased so quickly just by voice",Negative
And Jobs22 restart scheme who work with the jobcentre was trying to pressure and persuade me into taking these low quality jobs which is not good for my physical or mental health.,Negative
"All the people proudly saying they won't buy from Amazon after this... this is EVERY warehouse job. Record levels of immigration under the Tories is what stops them ever being able to unionise (as per Amazon's own internal docs, and which state owned Channel 4 failed to mention).",Negative
I've got relatives that buy off Amazon I tell I won't buy off them they think I am at fault NO they have a shocking record of poor worker relations And stealing companies business I hate them .,Negative
44:57 The solicitor is dead impressed hahahahah,Neutral
30:52 is worth watching the bit about p*ss,Positive
same xpo,Neutral
discrimination claim for no reasonable adjustment,Negative
I have ADHD and you kept my attention throughout this so well. what am amazing documentary.,Positive
"I used to buy vodka from amazon when i was 15, they really are shit at age verification checks",Negative
"Remember fellow Amazonians. If you see or hear any suspicious behaviour, such as a ""living wage"" being mentioned, report it to your superior immediately.",Positive
Meanwhile I had age verification for PLASTIC BLADES hahaha,Positive
I can honestly say that if I do any on-line purchase; if it involves any mention of 'Amazon'; I just don't buy! They are a despicable business.,Positive
i could bump into this guy not even wearing a disguise and wouldnt recognise him,Neutral
"Once ordered new Ryzen 7 cpu from amazon, got empty cpu box inside sealed amazon box. No surprise they are strict on security.",Positive
"I don't get people who complain about this type of work. 

When I lost my job, I applied at Amazon and got the job within 2 days, 3 weeks later, I was in, earning decent money for an uneducated worker. I was never mistreated, I just had to work hard and understood that not doing well in school leads to places like this, which is what my teachers warned me about. You earn money at Amazon that most people around the world could only dream of.

Point being, treat this place as a stepping stone and go get a real job. There's plenty out there. Who grew up wanting to be a warehouse employee? 

This modern day woke ideology of complaining about literally anything is melting my brain. Your grandparents would be disgusted with you🤣",Negative
Thing is not everyone was born with a silver spoon up their ass. Amazon is often the cheapest most convenient place to buy things online or on the highstreet. You might say just pay £2 more on another site. But those £2 quickly add up for the majority of people espcially during an economic crisis.,Negative
"watched five minutes, most tedius five minutes ever spent in my life. so glad  I have no TV anymore",Positive
This should be shown in every secondary school up and down the country to show the students what awaits them if they mess around and don't take their studies seriously.,Negative
"I worked at MAN3 for several months, it was painful, I would go home in pain, aching, I had damaged my foot, did numerous visits to A&E. Then I got fired. Due to ""not fulfilling Amazons requirements"". Though, I was put on the docks with no training, due to which I had damaged my foot after dropping a unmarked box with 25-30kg of batteries.",Negative
Met oobah today randomly walking along where I was working had a good chat with him always does good videos keep it going,Positive
"was just having a laugh earlier , although what I think of them goes deep, but it has to be said, you should be proud of yourself for drawing attention to this because that does happen and unfortunately , and we know bEZOS doesn't care and encourages this behaviour, he'll be another one that begs once he's against the wall",Positive
"And more than likely not a thing was done to change any of the things found in this documentary, Be it by Amazon or any countries government agencies",Positive
"It's been pretty clear for many years now that Amazon do not look after their staff, care more about profits and algorithms than they do people and are looking to 'take over' the whole of our purchases.
I've tried at various times to use alternatives, some have been workable, most not. So the way I see it is, the problem doesn't lie so much with what Amazon are doing but more with what all of the other potential outlets are not doing. Given viable alternatives most people would choose the most ethical, when viable alternatives are rare then most will go with the most easily available, cost-effective and timely option there is - Amazon.
We're almost at the point where the western world cannot exist without them.",Positive
"As a previous Amazon delivery driver. I confirm fully in what is said in here. The issue I have is that Amazon stated they work with the DSP's to make sure targets are realistic. The DSP's lose ""slots"" so basically work if they don't meet expectations. On average in a 9 hour shift I was expected to deliver 150 to 200 stops that's between 250 and 300 parcels easily. It is true as stated that you are expected to do a ""stop"" meaning delivery every 3 minutes there is a reminder to take a break but then you get moaned at for not making targets. By 1 stop every 3 minutes that includes driving in between and waiting for the customer to answer the door.",Negative
"I stopped interacting with amazon when I realised that amazon sells fake climbing ropes, carabiners and other personal protective equipment, which is basically making money off of potentially killing people.",Negative
"Well just cancelled my subscription, 10k in 3 years ive spent to be spent on fuck all but making the rich richer, the justice system in the UK is a joke",Positive
Great to highlight modern 'new' working practices more akin to mill workers in the 19th century. But whats changed since this documentary? We are becoming a more elitist state since ww1,Positive
This film is a work of art. The ending is an absolute 10/10,Neutral
Yet everyone in this comment thread still uses Amazon.,Neutral
My Alexa nearly bought that knife! Hahah!,Neutral
"48:30 that £3.6bn in indirect taxes is VAT.
We pay that, they only process the actual transfers to HMRC.",Negative
44:38 brilliant hahahahaha,Positive
This is most wonderful story if it only had a happy ending...,Positive
"With the pothole filler, as much as I appreciate the idea, you most likely screwed a small seller over, not amazon. The seller had to give you back the money and now potentially some customers will receive sand instead of pothole filler, complain to amazon, which will screw the seller over even further.",Negative
That urine is pretty dark. I guess they don't get time to drink either. Grim,Negative
That drink tasted horrible!!!,Negative
The lawyers reaction at 44:56 is brilliant when he realises he's in the clear,Positive
Amazing work. Love it.,Positive
16:18  how and why do women do that?,Neutral
This guy is brilliant!!! The shell company H.M.R.C....Genius,Positive
30.16 - did anyone else is Alexa just add everything into the basket,Neutral
Harry Potter and the bottles of piss,Negative
What an absolute Muppet.,Neutral
"Tries to infiltrate Amazon. Is late on his first day, hahaha",Positive
As if you fixed the pot hole at fatty island that things been a tyre killer since I can remember,Negative
Oobah’s work being forever incredible,Neutral
"Yeah yeah C4 gov needs to take over corporations .it will be better run like gov institutions - police , civil service  , Westminster and nhs",Positive
"Life is too short to be stressed and weeing into bottles. Treat them like humans, or no more Amazon.",Negative
"The Greedy 1%  the cause behind all poverty and death and the homeless, one for you and a thousand for me, this is why the worlds finances are all out of balance and distorted. The Rich are Weak Minded, there is Nothing here to Keep, except the black spirit they have created from their Sickness..",Negative
I stopped ordering on Amazon years ago when the first allegations were made public. I think it is good to compare prices and I always took for the seller and then directly order from them skipping amazong.,Positive
"""Dont complain just problem solve it"" and he did with proof! Delicious",Positive
"I have got a book called a diary. So i pick my pen, coincidentally  called Alexa, and write 'add lemonade to my shopping list' -isn't technology amazing?!",Positive
The lawyers face when he heard about your business is priceless,Neutral
Amazon is THE Fourth Reich.,Neutral
"I love the comments on this.. same people condemning are ordering off amazon, probably at the same time 😂. When you're all ready to grow up and stop using amazon, let me know 🫠.",Positive
Bro literally forced Amazon to pay taxes,Negative
People complain about Primark fast fashion but happily use Amazon.,Positive
This was an amazing video.,Positive
"And Everyone watching this , uses Amazon, daily.  But lets try and get amazon what... closed down?  Bitch please. Couple of immigrants complaining but still working there.",Negative
The enrichment center sure looks scarier,Positive
This guy broke every law but murder 😂😂😂😂😂,Negative
"""way of the road bud""",Neutral
Amazon are seriously shocking for their health and safety and favour production numbers over safety numbers . They never di a time & study in the 6 years I worked for them and.,Positive
I love Oobah! I think about his garden shed restaurant way more than I should,Positive
Amazon will only fail when people stop fucking working for them,Negative
"He's a very smart person, Imagine someone like him being in charge of the UK? It would probably be great",Positive
I don't agree with amazon but what use is this surely they can sack the lot and get agency workers within a few hours,Positive
I worked for them I injured my shoulder whilst working there they sacked me 2 weeks before Christmas coz doctors signed me off for 2 weeks,Negative
"Worked in Tilbury one for 2 years constant 12 hour shifts some times 15. depends, getting promotions is risky they expect more and more from you  and the   constant standing up, can't go to the toilet  always kept on eye on  if you sit down  you get warned  people don't last because they get fed up. they track how many items you get out and  agency staff come and go all the time  it's to do with how quick you are  not health and safety,  it's a Nightmare if they ask you to   long shifts  you go home in pain and if you suffer from medical conditions or serious mental health issues please don't  work for Amazon you will end up worst or dead, the returns department is Hell",Negative
Brings a new meaning to piss poor,Negative
"A lot of those bottles are between 500 - 750 ml and most are hald filled, so 350-375 ml of urine, which is lower end of normal ""i need to pee"" volumes, more interesting is the colour, these people are really dehydrated, the LA driver had the right colour, but all the others...",Positive
"I used to work at Amazon, just not in Coventry. It was the opposite of this; we had no ""screening"", just an ID card you scan to clock in and out. We could sit, take it easier. We could ask to do different tasks if they got repetitive or too difficult. It was an amazing job but obviously was labour intensive. It's crazy to find that an Amazon warehouse in another city looks like a prison.",Negative
Johnny Silverhand would be proud,Positive
"Possibly the worst bit of undercover work I've ever seen, what a joke",Negative
"Yeah I've worked in a fullfillment center. The place is an absolute hellhole. they work you 10 hour days of only 2, 5 minute sessions where you're allowed to sit and get water. Youre timed and scored on the speediness and accuracy of your work. if youre even a little slow some twat management guy watches you and yells that youre too slow. saw this happen to countless coworkers. each day i returned home was absolutely shattered and worked to exhaustion. for anyone considering working there because its easy to get in, please dont. there are other places out there you can work. places that wont labor you to the point where you need to place a chair in your shower because youre too sore to even stand.",Negative
Really clever ideas to draw attention to this. Although I guessed JB and Amazon were bad I never knew they were anywhere near as bad as this. Hopefully this will make people think twice before ordering stuff on Amazon. Well Done.,Negative
I always try to find alternative to avoid buying from them. They should be banned everywhere!,Negative
"I will say this though, the security scanners and searching is the LEAST surprising thing here. Warehouse staff are notorious for stealing and an amazon warehouse is a thief's dream.",Negative
I can't believe he smelt that bottle 😂,Neutral
Remember kids - there's no such thing as an ethical billionaire,Positive
"What do I have to do to get my hands on one of the ""Release"" bottles? (EMPTY!)",Negative
"There is a huge amazon warehouse in my city and i keep hearing how much money are they making but if THIS is what I would have to go through, na fk that I'm good where i am right now.",Positive
I'm sure amazon never gave a bribe or bought decision people other way  to get away with this...,Positive
"Hahaha, making Amazon pay for the fixing of the potholes through the refund process with sand was genius,
Oobah has also highlighted the loophole system which is used daily by the unscrupulous, which is absolute
class, I hope he continues to inform us about all the other ways where all being screwed, 
Thank You Oobah, it people like you that get things changed.",Positive
"I did 4 hours as a driver for a delivery service partner of Amazon. They chased numbers, quickness and they scored you on productivity.

One lady manager even asked if I had fallen asleep in the van because i'd taken 5 minutes to complete one delivery. It was an age verification delivery of wine, which the customer had to find their ID to confirm delivery.

I found it incredibly demeaning, the customers are extremely rude sometimes like 'why are you so fucking late'

I called the manager to say I'd bring the parcels back and was leaving to do agency van driving work.

You'd literally have to be moronic to do this job!!! or have so little regards for safety that you drove the van like you stole it!!!

I heard a lot of drivers put their seat belts behind them and this scares the shit out of me. WHY!!!! Why risk your life just for money????",Negative
and people wonder why so many kids have knives without parents knowing?,Neutral
"In my 3 months at one of their warehouses in UK long time ago,i saw 4 people faint from exhaustion 2 of them needed ambulance,proper slave factory,by the time you go to break and after going through 1000 people que and security and que at cantine you have like 4 minutes to seat and eat,if you don’t reach hourly target they come and ask you if you are ok,and threaten you with three strikes in a polite way",Negative
"I work in Amazon in the uk, the staff and managers are actually friendly they don’t track every movement they allow us breaks and don’t pester us if we are a minute or two late I wanna highlight that everything you see on the internet isn’t always the case",Positive
"Even Lush Cosmetics tried to prevent unions due to unethical ways of working and they pride themselves on being ""ethical""",Positive
Omg! Pure genius! Huge 👏🏻👏🏻👏🏻 for sticking it to besos! Totally love what you’ve done and wish there were more warriors like yourself doing this. Good job oobah. ❤❤,Positive
"To anyone thinking of working at Amazon, just don’t for your own sanity, that shit will leave you depressed",Negative
Amazes me they go through all that security and yet you still get empty parcel delivered or stuff missing out the packaging so someones on the take.,Negative
Seems like a working environment in North Korea.  Jobs for immigrants I think.  The British wouldn't stick this for 5 minutes.,Positive
"Arh lad, if a bottle even looks like apple juice, don't open it just to see if it is, hahaha.
He won't make that mistake again in a hurry, haha.",Positive
"Yep, I too can vouch for having to piss in the van, I sometimes have to get in the back on my knees 
and piss outside a half closed side door when I was caught short, and all because you had to work the
shift without any downtime. 
I lost months of pay because of the stupid f***ing Amazon job, because something
went in the top of my thigh, and I was bedridden for six weeks, never again. 
If I hear about someone toying with the idea of taking a driver's job, I'll always convince them to go elsewhere.",Negative
and the gov over the world pays blind eye because amazon own all of them,Negative
Amazon are very quick to fire if you have something to say.,Negative
"So... force your Politicians to delegalize Tax Havens seems like a good start. Oh wait, they're all using them? The system is broken as a whole? Oh boy...",Positive
Amazon workers whine everyday about how bad the place is but still work there. If its so bad find another job no?,Negative
Oh my god you and your team are some smart cookies. Absolutely brilliant 👏,Positive
These entitled kids😂😂😂😂😂😂,Positive
"Every Empire  was built on slavery. Amazon is no different. It's sad to see people agreeing to that, it's sad that they feel like they have no other job to go to.",Negative
"Last time I saw Oobah, he was shaking dirty rugs wearing a frilly Tudor-style collar in front of Buckingham Palace and trying to serenade Tony Blair outside of his residence in London.

Now he's sniff-testing anonymous bottles of piss on the streets of Los Angeles.

The more things change, the more they stay the same.",Negative
Oh no... lets see the work that millions of warehouse workers do everyday and don't complain even though they don't get the money Amazon do...,Negative
Trusting a dude with a name like OObah,Positive
Amazon should be fully investigated and forced to pay tax! It’s crazy how much power this company has!,Negative
Fun fact: they call those bottles of piss Truckers Tizer.,Positive
Half Way through but I've worked at 2 Amazon UK sites and it's personally it's not that bad.,Negative
Did she think you were just taking a break from being a journalist and got a genuine job at amazon? she sounded so surprised you wanted to leave hahaha,Positive
"Dome Amazon driving .
One month 

No breaks .high pressure
Garbage pay 

Terrible job",Negative
Ok the knife bit was fake. Amazon drivers have to ask your date of birth before they hand the package to you. I buy a lot of sharp tools online and this has always happened for me.,Negative
"So a company who make sure it's employees work hard during their paid hours??

Big deal.

And those in the comments who only worked there a day, a week or a month and had to quit says more about your work ethic than your employers standards.

The older generation must be laughing.",Positive
when he put that hat on in the taxi he looked like the bird lady from home alone 2 haha,Positive
"Decent place to work, far far better then Ocado",Positive
Why would you go for a job at a warehouse and then complain about standing all day and lifting heavy things...,Negative
There is a business called home bargains..(TJ Morris) they sell cheap Chinese cr@p..tge working conditions are the same,Neutral
This one looks like apple juice.😆 But what does apple juice look like 🤣😂,Positive
Amazon is not an online retailer. They are a hedge fund. In the 1980's they would have been called Corporate Raiders.,Neutral
"Amazon really are shocking employers, I didn't have the misfortune of working in the warehouse, being a driver was bad enough!
This has been highlighted so many times and they're still getting away with it.",Negative
After the Russell Brand thing i dont trust a thing you guys make.,Neutral
Amazon are the pits.,Neutral
This was an amazing and interestingly revealing documentary I must say!,Positive
Wow. What a pile of rubbish journalism. You went undercover for ten minutes and found nothing really new. Then you spent the rest of the time massaging your ego. Hardly a documentary.,Positive
"I work in amazon and I agree and disagree with this. It all depends on which department you work in. 

I have worked in the department of amazon logistics before and I can confirm that I have seen 1 bottle of piss and that it is a horrible place to work in.

I now work in amazon prime and it is 100000 times better than amazon logistics. Amazon prime is also the easiest department to work in, in the whole of amazon. 

I will admit that we have a freezer in amazon prime but at the sametime, we have heaters to warm us up.",Positive
This young man is going places & I commend him & Channel 4 for immediately putting this on YouTube so everyone can have a chance of seeing it. I’m going to look out for his next project - can’t wait to see him topping this one 😂,Positive
"People have been rushing to sell their souls to save as little as 5% on random crap for like half a century now, well this is what 50 years of this rubbish does to the world. It'll only get worse unless you shop somewhere else, and no 'next day delivery' simply is not worth it, just remember how many people you put through hell just to get some, likely not that important item delivered a few days early. 

Next day delivery rarely ever even happens where I live, a city. Likely due to Amazon, quite rightly bleeding workers. Their biggest selling point is unsustainable logistically and humanely.

Don't buy anything from Amazon.",Negative
"Bezos himself uses a bottle, I've been told.",Neutral
Best bit was when the lawyer finally laughed at the end,Positive
"I'd love to see Oobah in the next Bond film.
Villian, techy, doesn't matter, he'll nail it either way. 
Loved this 👍",Positive
Just cancelled my early Christmas shopping… thank you and I promise I will never shop amazon again,Positive
